date,day_of_week,time,title,hosted_by
2025-01-26,Wednesday,21:30,"Two-prov Nite",
2025-01-26,Thursday,21:30,"Fun Time Stand Up Hour",
2025-01-26,Friday,21:30,"Sketch Bomb",
2025-01-26,Saturday,21:30,"Full Fat Bear Milk",
2025-01-26,Friday,23:00,"Dice Harder",
2025-02-02,Wednesday,20:00,"The Indie Improv Show",
2025-02-02,Thursday,20:00,"Kringel (Improv Comedy auf Deutsch)",
2025-02-02,Friday,20:00,"House Show",
2025-02-02,Saturday,20:00,"Witch Hunt",
2025-02-02,Sunday,20:00,"The CCB Improv Jam",Piss Baby
2025-02-02,Wednesday,21:30,"Improvylicious Jam",
2025-02-02,Thursday,21:30,"Frei erfunden (Improv Comedy und Jam auf Deutsch)",
2025-02-02,Friday,21:30,"GLB (Improvised Comedy)",
2025-02-02,Saturday,21:30,"LEGALISE KISSING IN BERLIN",
2025-02-02,Friday,23:00,"Forms Night",
2025-02-09,Wednesday,20:00,"Health Plan: A Deconstruction",
2025-02-09,Thursday,20:00,"Smash Cut Presents: The Improvised Movie",
2025-02-09,Friday,20:00,"House Show",
2025-02-09,Saturday,20:00,"Laughing Matter: Int. Day of Women in Science",
2025-02-09,Sunday,20:00,"The CCB Improv Jam",
2025-02-09,Wednesday,21:30,"HAIRCUT",
2025-02-09,Thursday,21:30,"The Hedge",
2025-02-09,Friday,21:30,"Partner-prov",
2025-02-09,Saturday,21:30,"It's That Time of the Month!",
2025-02-16,WEDNESDAY,20:00,"The Improvised Stand-Up Show",
2025-02-16,THURSDAY,20:00,"Truth Night",
2025-02-16,FRIDAY,20:00,"House Show",
2025-02-16,SATURDAY,20:00,"Young & Dumb",
2025-02-16,SUNDAY,20:00,"The CCB Improv Jam",
2025-02-16,WEDNESDAY,21:30,"The Indie Improv Show",
2025-02-16,THURSDAY,21:30,"Action Jackson",
2025-02-16,FRIDAY,21:30,"Drive Time with Roadkill",
2025-02-16,SATURDAY,21:30,"Four Eyes - Storytelling & Improv",
2025-02-16,FRIDAY,23:00,"No Joke",
2025-02-23,Wednesday,20:00,"The Indie Improv Show",
2025-02-23,Thursday,20:00,"Teacher's Pet",
2025-02-23,Friday,20:00,"House Show",
2025-02-23,Saturday,20:00,"The Shakedown (Musical Improv)",
2025-02-23,Sunday,20:00,"Student Shows!",
2025-02-23,Thursday,21:30,"Daisy Chain - LGBTQIA+ Ensemble Improv",
2025-02-23,Friday,21:30,"The Glue Factory (presented by Funfdollar)",
2025-02-23,Saturday,21:30,"Full Fat Bear Milk",
2025-02-23,Friday,23:00,"The Hedge",
2025-03-02,Wednesday,20:00,"Berlin New Stand Up (CCB Showcase)",
2025-03-02,Thursday,20:00,"Kringel (Improv Comedy auf Deutsch)",
2025-03-02,Friday,20:00,"House Show",
2025-03-02,Saturday,20:00,"Witch Hunt",
2025-03-02,Sunday,20:00,"The CCB Improv Jam",Truthpaste
2025-03-02,Thursday,21:30,"Frei erfunden (Improv Comedy und Jam auf Deutsch)",
2025-03-02,Friday,21:30,"GLB (Improvised Comedy)",
2025-03-02,Saturday,21:30,"The Confession: An Improv Show Worth Repenting For",
