date,day_of_week,time,title,hosted_by
2025-09-28,THURSDAY,21:30,"Retro Game Slam",
2025-09-28,FRIDAY,21:30,"The Wandering Barman",
2025-09-28,SATURDAY,21:30,"Good Luck, Barbara!",
2025-09-28,THURSDAY,23:00,"Joke Time!",
2025-09-28,FRIDAY,23:00,"The Queen's Court",
2025-09-28,SATURDAY,23:00,"10 Year Anniversary Party",
2025-10-26,THURSDAY,20:00,"Teacher's Pet",
2025-10-26,FRIDAY,20:00,"House Show",
2025-10-26,SATURDAY,20:00,"Witch Hunt",
2025-10-26,SUNDAY,20:00,"The CCB Improv Jam",
2025-10-26,THURSDAY,21:30,"Daisy Chain - LGBTQIA+ Ensemble Improv",
2025-10-26,FRIDAY,21:30,"The Glue Factory presented by Fünfdollar",
2025-10-26,SATURDAY,21:30,"Full Fat Bear Milk",
2025-10-26,FRIDAY,23:00,"The Hedge",
2025-11-02,Wednesday,20:00,"Wheel of Truth",
2025-11-02,Thursday,20:00,"Kringel",
2025-11-02,Friday,20:00,"House Show",
2025-11-02,Saturday,20:00,"The Shakedown - Musical Improv",
2025-11-02,Sunday,20:00,"The CCB Improv Jam",Wet Teeth
2025-11-02,Wednesday,21:30,"Improvylicious Jam",
2025-11-02,Thursday,21:30,"Frei erfunden - Improv Comedy und Jam auf Deutsch",
2025-11-02,Friday,21:30,"GLB - Improvised Comedy",
2025-11-02,Saturday,21:30,"Blumpkin Abbey",
2025-11-02,Friday,23:00,"Forms Night",
2025-11-10,Sunday,13:30,"Der kleine Impro-Jam auf Deutsch",
2025-11-10,Wednesday,20:00,"Health Plan: A Deconstruction",
2025-11-10,Thursday,20:00,"Smash Cut Presents: The Improvised Movie",
2025-11-10,Friday,20:00,"House Show",
2025-11-10,Saturday,20:00,"It's That Time of the Month!",
2025-11-10,Sunday,20:00,"The CCB Improv Jam",Truth Paste
2025-11-10,Wednesday,21:30,"Turtle Logic: The Aquarium",
2025-11-10,Thursday,21:30,"The Hedge",
2025-11-10,Friday,21:30,"The Indie Improv Show",
2025-11-10,Saturday,21:30,"Too Many Cooks - A Comedy Cooking Show",
2025-11-10,Friday,23:00,"Laura Kenny and Rocio Ciganda Stand Up Show",
2025-11-16,Thursday,18:30,"Caroline Stand Up Student Show",
2025-11-16,Friday,18:30,"Student Show - Level 1 - Intro to Improv",
2025-11-16,Wednesday,20:00,"The Improvised Stand-Up Show",
2025-11-16,Thursday,20:00,"Truth Night",
2025-11-16,Friday,20:00,"House Show",
2025-11-16,Saturday,20:00,"IGNORAMUS",
2025-11-16,Sunday,20:00,"The CCB Improv Jam",Ivana's Birthday Team
2025-11-16,Wednesday,21:30,"Team Jam",
2025-11-16,Thursday,21:30,"Action Jackson",
2025-11-16,Friday,21:30,"Tales Held Dear",
2025-11-16,Saturday,21:30,"The Reunion: Love is Blind",
2025-11-16,Friday,23:00,"The (Hidden) Talent Show",
2025-11-23,Wednesday,20:00,"The Indie Improv Show",
2025-11-23,Thursday,20:00,"Teacher's Pet",
2025-11-23,Friday,20:00,"House Show",
2025-11-23,Saturday,20:00,"Fuster Clucks - Sketch Comedy",
2025-11-23,Sunday,20:00,"The CCB Improv Jam",Haircut
2025-11-23,Wednesday,21:30,"There's One in Every Class",
2025-11-23,Thursday,21:30,"Daisy Chain - LGBTQIA+ Ensemble Improv",
2025-11-23,Friday,21:30,"The Glue Factory presented by Fünfdollar",
2025-11-23,Saturday,21:30,"The Confession: An Improv Show Worth Repenting For",
2025-11-23,Friday,23:00,"The Hedge",
2025-11-30,Sunday,18:30,"Student Show - Level 1 & 2 Musical Improv",
2025-11-30,Wednesday,20:00,"Smörgåsbord: A Bit Show Show",
2025-11-30,Thursday,20:00,"Kringel",
2025-11-30,Friday,20:00,"House Show",
2025-11-30,Saturday,20:00,"The Shakedown - Musical Improv",
2025-11-30,Sunday,20:00,"The CCB Improv Jam",Brace! Brace!
2025-11-30,Wednesday,21:30,"Improvisious Jam",
2025-11-30,Thursday,21:30,"Frei erfunden - Improv Comedy und Jam auf Deutsch",
2025-11-30,Friday,21:30,"GLB - Improvised Comedy",
2025-11-30,Saturday,21:30,"Full Fat Bear Milk",
2025-11-30,Friday,23:00,"Forms Night",
2025-12-07,Sunday,13:30,"Der kleine Impro-Jam auf Deutsch (@ CCB Studios)",
2025-12-07,Wednesday,20:00,"Health Plan: A Deconstruction",
2025-12-07,Thursday,20:00,"Smash Cut Presents: The Improvised Movie",
2025-12-07,Friday,20:00,"House Show",
2025-12-07,Saturday,20:00,"Sketch Bomb",
2025-12-07,Sunday,20:00,"The CCB Improv Jam",Marge
2025-12-07,Wednesday,21:30,"Turtle Logic: The Aquarium",
2025-12-07,Thursday,21:30,"The Hedge",
2025-12-07,Friday,21:30,"Miracle on Roseggerstraße: A Holiday Variety Spectacular",
2025-12-07,Saturday,21:30,"Witch Hunt",
2025-12-07,Friday,23:00,"Bah Humbug - An Unholiday Show",
